Ping_Group,Corrected_Timestamp_ms,Submarine_Velocity_mps,Submarine_Speed_knots
0,4218.183996922196,38.59085272153314,75.01461652133852
1,15909.904696328278,39.149920731098355,76.1013577926316
2,27614.53239297689,45.39171768587853,88.23444042611357
3,39330.45879109234,47.066002985426316,91.48899068441378
4,51045.872065417614,34.31425686313225,66.70157921559168
5,62751.59290656884,39.22191389592471,76.24130130957268
6,74561.83043259542,39.888928146911574,77.53787328773289
7,86545.95125509654,35.4198214553652,68.85062485924105
8,98523.37427272268,42.63891986209072,82.88342953754115
9,110524.34221541315,29.819686365619898,57.96483310811629
10,122606.07051996054,39.48137349208992,76.7456504165893
11,134997.12326456187,37.93667112583877,73.74298922949203
12,147357.91842136075,30.534287587060994,59.35390675670589
13,159122.5094047651,41.9378769972665,81.5207112257878
14,171403.37428625493,38.4151269670153,74.67303298123906
15,183710.1201785128,39.900960275572146,77.56126187476208
16,195601.8549852969,41.93850865277136,81.52193906586206
17,207298.97451336187,33.40695874709618,64.93793276973324
18,218959.09756118548,36.18521661555158,70.33843402591003
19,230593.19566840483,46.64805285834538,90.67656063177266
20,242236.40070179806,39.038103636946666,75.88400275000413
21,254551.51995805954,32.6810068840971,63.526795239065486
22,266901.0302694781,37.69767407589832,73.27841613025574
23,279229.9292389309,35.86394766009513,69.71393713625386
24,291545.2929363026,34.58773365448174,67.23317557026671
25,303840.8872720673,30.12968030053441,58.56741311118986
26,316131.9841097082,41.74209714841966,81.14014564487603
27,328407.1430403578,39.76834090465787,77.30347044101943
